month,moneyNeeded,promoted,moneyCollected,daysSpent,daysRequired,category,coverage
7,82000,True,69333,9,28,Medicine,136129
6,510000,True,591698,26,30,Medicine,10000
8,28000,True,33324,21,22,Other,10000
7,115000,False,86277,28,8,Humanitarian,10000
12,439000,True,456510,10,4,Humanitarian,10000
10,928000,False,103813,24,19,Medicine,10000
9,309000,False,265363,2,9,Other,10000
3,991000,True,1035212,13,16,Military,10000
5,73000,False,40007,22,3,Other,9864
10,264000,True,219179,20,18,Humanitarian,9020034
9,82000,True,96643,12,27,Other,464420
2,489000,True,397065,28,14,Military,3351
2,818000,False,8806,29,17,Other,375658
10,834000,True,974592,26,11,Medicine,10000
12,286000,True,235898,6,30,Medicine,10000
8,64000,True,67557,10,6,Other,132125
3,823000,True,848359,14,26,Medicine,10000
11,858000,True,687871,1,10,Medicine,1382
12,653000,True,692213,24,24,Military,10000
2,533000,True,567871,19,29,Military,1230
3,676000,False,308976,29,13,Military,10000
5,863000,True,899484,3,8,Military,191352
2,650000,True,537590,12,9,Other,149077
7,709000,True,711534,1,22,Humanitarian,10000
5,467000,True,474814,3,5,Military,10000
3,486000,True,551407,31,11,Other,259976
10,21000,True,20456,1,29,Humanitarian,2882
7,742000,False,329239,17,26,Humanitarian,182028
1,297000,True,345068,8,15,Humanitarian,10000
6,989000,True,1127756,15,11,Other,232441
8,990000,False,906686,30,24,Medicine,107280
4,483000,False,452644,29,17,Humanitarian,10000
4,256000,False,134925,25,27,Medicine,391636
8,686000,True,638779,29,3,Military,10000
4,906000,False,326402,16,26,Medicine,10000
7,105000,True,93743,19,6,Military,9031802
4,238000,False,145842,10,19,Military,2542
5,983000,True,976413,13,25,Other,10000
6,217000,True,201428,10,3,Humanitarian,10000
1,197000,False,108891,16,20,Military,206361
9,314000,True,359064,12,17,Military,384281
12,590000,True,578416,16,5,Military,161305
8,849000,False,248045,9,20,Military,444593
4,534000,False,375280,17,19,Medicine,10000
6,51000,True,47950,12,10,Humanitarian,156869
9,670000,True,711373,27,28,Military,10000
6,671000,False,42683,10,23,Humanitarian,2840380
5,61000,True,70043,13,7,Other,486567
4,306000,False,144941,29,6,Military,3835252
11,932000,False,629019,11,7,Other,416
3,57000,True,61794,9,12,Military,5381
5,657000,True,733393,26,31,Other,10000
5,47000,True,49248,6,15,Humanitarian,3227
4,189000,True,205743,31,26,Other,10000
4,816000,True,933093,24,26,Military,10000
2,567000,True,675624,3,23,Medicine,6511081
1,577000,True,609552,9,7,Medicine,483249
10,174000,False,131468,22,5,Other,489091
10,479000,True,567600,3,7,Military,476120
7,289000,True,314918,20,6,Humanitarian,246409
2,466000,True,513369,25,2,Other,388967
6,196000,True,182946,7,29,Other,10000
5,733000,True,820326,18,19,Military,8514158
12,885000,True,1060944,18,1,Other,10000
4,627000,True,655337,3,11,Humanitarian,326733
6,235000,False,181224,23,4,Medicine,10000
10,896000,True,1015233,21,28,Other,10000
9,101000,False,55294,28,26,Medicine,6796841
6,704000,True,580796,3,13,Humanitarian,10000
8,129000,True,119858,2,23,Medicine,10000
5,815000,False,199935,30,24,Humanitarian,10000
6,241000,True,272864,5,13,Other,10000
8,988000,True,1157150,18,15,Military,10000
12,283000,True,338708,2,4,Medicine,10000
10,545000,False,353103,3,16,Other,152525
8,133000,True,132796,15,18,Military,100797
9,683000,True,633816,11,22,Humanitarian,142357
11,953000,True,969893,5,21,Medicine,228507
3,80000,True,89942,31,15,Humanitarian,4388
10,739000,True,649300,20,28,Other,10000
6,881000,True,1036794,29,20,Other,176999
1,194000,False,21813,31,18,Medicine,10000
3,527000,False,158751,14,13,Military,454908
2,752000,False,329302,18,17,Medicine,297754
7,507000,False,391792,19,16,Humanitarian,6534179
9,598000,True,506449,7,30,Humanitarian,346069
3,843000,True,921951,23,4,Other,3804
10,907000,True,1039125,27,9,Other,176435
10,612000,True,606710,18,7,Medicine,10000
7,843000,True,940018,28,3,Military,10000
12,954000,False,488428,5,21,Other,3447
12,297000,False,255392,1,6,Humanitarian,10000
2,278000,False,210585,5,15,Military,10000
12,720000,True,625134,6,13,Medicine,10000
2,268000,False,9978,24,27,Other,10000
2,28000,True,25650,21,6,Military,328525
6,59000,False,43951,2,5,Medicine,417631
6,560000,True,517795,10,6,Medicine,10000
12,105000,True,103573,23,22,Other,10000
4,129000,True,133876,3,7,Military,10000
12,412000,False,79979,3,9,Humanitarian,429203
1,843000,True,679339,26,27,Medicine,10000
11,910000,True,926764,13,15,Military,10000
3,412000,True,473534,19,12,Medicine,453914
5,213000,True,239776,11,15,Military,10000
6,479000,False,23622,31,26,Military,370574
12,26000,True,28484,27,1,Military,10000
10,28000,False,16557,3,31,Medicine,10000
3,319000,True,286790,11,17,Medicine,10000
6,489000,True,480279,1,14,Military,10000
4,303000,True,355724,4,5,Medicine,437406
7,41000,False,13257,10,5,Military,10000
11,703000,True,770051,16,22,Other,446111
10,467000,True,379445,12,11,Humanitarian,10000
1,568000,True,502259,12,8,Military,9176
9,992000,True,982963,17,1,Humanitarian,7865612
3,368000,True,389204,16,12,Medicine,10000
12,509000,False,118795,25,11,Other,10000
8,46000,True,54730,17,14,Other,10000
8,909000,True,977248,10,7,Other,341834
3,91000,True,94547,18,7,Medicine,10000
10,526000,True,493246,19,9,Other,271673
9,503000,False,462764,27,2,Medicine,372517
4,594000,True,497580,28,11,Humanitarian,10000
2,608000,False,356891,4,26,Other,339141
9,357000,True,309344,6,25,Other,110349
2,901000,True,854971,24,3,Military,10000
8,465000,True,401887,13,22,Medicine,479562
9,174000,False,14122,29,19,Humanitarian,383871
9,455000,True,387580,23,27,Other,10000
6,410000,True,457536,20,5,Military,286771
4,674000,False,528977,2,5,Humanitarian,10000
11,489000,False,449981,1,1,Other,10000
7,406000,True,333880,31,17,Humanitarian,264318
6,918000,True,915457,12,15,Military,10000
11,713000,True,589082,14,15,Medicine,10000
3,916000,True,933378,10,30,Humanitarian,10000
7,118000,True,119013,7,5,Humanitarian,10000
8,720000,True,622848,1,20,Other,10000
9,75000,False,46756,28,1,Medicine,400472
1,962000,True,1147405,29,18,Medicine,10000
3,34000,True,30603,21,1,Humanitarian,4271
10,580000,True,574052,9,23,Humanitarian,9070
5,994000,True,1010941,30,20,Other,10000
10,476000,True,514313,16,20,Military,378277
1,380000,True,306264,2,24,Humanitarian,2564
3,303000,True,322458,12,16,Military,10000
1,519000,False,102310,23,30,Medicine,10000
11,127000,True,148733,14,9,Medicine,10000
10,115000,False,43022,11,19,Military,144356
9,101000,False,63737,28,11,Medicine,10000
1,645000,False,349996,13,26,Military,10000
2,239000,False,53466,23,4,Humanitarian,518
1,975000,False,303205,8,31,Humanitarian,10000
8,189000,False,59675,18,5,Medicine,10000
3,511000,False,251273,11,17,Military,10000
10,361000,True,325069,17,11,Other,10000
8,794000,True,823708,20,19,Medicine,10000
6,146000,False,43426,30,27,Medicine,139333
8,803000,True,665852,16,24,Other,10000
2,554000,False,548804,14,5,Military,10000
6,854000,True,811593,15,18,Humanitarian,10000
8,24000,True,24243,25,12,Other,470359
12,986000,False,751342,25,22,Other,10000
12,784000,False,457861,4,13,Other,6841
5,441000,False,377730,3,24,Humanitarian,10000
4,631000,True,646747,25,21,Other,396887
3,823000,True,674481,13,2,Other,172622
12,525000,True,420580,27,2,Military,103005
10,779000,False,763385,12,2,Medicine,409566
11,29000,True,53539,2,4,Military,10000
9,864000,False,66716,20,23,Humanitarian,295445
7,756000,True,663221,18,23,Other,390322
2,514000,False,310251,17,24,Military,10000
6,142000,True,127573,2,12,Medicine,10000
11,857000,True,714449,18,8,Humanitarian,486702
2,374000,True,441855,11,1,Military,404209
1,107000,False,28169,2,15,Military,10000
4,627000,True,511877,18,10,Medicine,380945
10,459000,True,464017,27,13,Other,10000
3,301000,False,251902,26,28,Military,8889
6,651000,True,655588,20,29,Military,333197
1,945000,True,873861,21,17,Medicine,10000
5,399000,True,442816,1,5,Military,8102
8,696000,False,133415,17,21,Military,359759
3,849000,True,883804,25,27,Military,3130
6,16000,False,3656,20,6,Military,10000
7,60000,False,47115,27,15,Medicine,10000
2,155000,True,171920,30,25,Medicine,10000
6,43000,True,47996,3,25,Humanitarian,10000
6,364000,False,202865,10,12,Other,8986
9,658000,False,134994,4,5,Humanitarian,10000
7,666000,True,586889,30,7,Humanitarian,5431372
2,149000,True,141102,8,2,Other,10000
8,431000,False,238552,26,3,Military,6172
7,127000,True,101810,19,2,Other,10000
1,726000,False,368170,14,23,Other,10000
2,130000,True,150401,28,3,Humanitarian,440966
3,435000,False,306084,12,17,Medicine,218577
1,901000,False,888563,28,4,Other,10000
10,742000,True,650965,21,30,Medicine,10000
1,982000,False,860051,18,27,Humanitarian,328687
8,46000,False,45107,1,3,Humanitarian,10000
7,252000,True,266982,30,23,Humanitarian,10000
6,541000,True,522922,25,15,Medicine,8916
12,8000,False,2432,25,22,Other,279617
11,106000,True,86413,5,13,Humanitarian,164711
6,1000000,True,1059751,1,23,Military,160906
7,697000,False,78958,20,15,Medicine,6598
4,232000,True,223977,5,27,Other,10000
5,946000,True,996509,25,17,Humanitarian,470031
7,604000,True,584541,20,8,Medicine,10000
10,369000,True,361613,1,17,Humanitarian,10000
1,973000,False,130705,6,14,Military,10000
12,592000,False,136312,5,25,Other,10000
3,0,True,19538,23,27,Military,192668
4,475000,True,520937,25,26,Military,10000
8,471000,False,386121,21,22,Humanitarian,10000
2,262000,False,215041,2,24,Other,10000
11,590000,True,707672,15,18,Other,187718
5,475000,False,80912,29,21,Military,8471
3,197000,True,195770,21,5,Humanitarian,421178
1,150000,False,96800,12,5,Medicine,453722
6,6000,False,3337,23,18,Other,10000
6,791000,True,932022,5,24,Military,277196
8,528000,True,424314,20,6,Other,10000
3,708000,False,131520,3,2,Military,346237
9,319000,True,322078,22,26,Military,10000
4,269000,True,274752,18,17,Medicine,401753
8,63000,True,74160,19,17,Military,10000
9,599000,False,104476,4,25,Other,139271
12,554000,False,422399,4,22,Medicine,140023
2,266000,True,258388,20,2,Military,10000
7,699000,False,273529,22,28,Military,10000
2,880000,True,844851,11,15,Humanitarian,443922
3,808000,True,664231,13,17,Medicine,10000
2,487000,True,436423,15,28,Humanitarian,381128
2,234000,False,126122,29,22,Military,10000
1,552000,False,531406,9,24,Military,373666
1,871000,True,808882,22,21,Humanitarian,10000
8,519000,True,582442,31,27,Military,368414
2,562000,True,617224,10,19,Humanitarian,7614
9,444000,True,374238,2,27,Humanitarian,10000
10,243000,False,166209,24,14,Medicine,10000
10,810000,False,389333,6,21,Humanitarian,10000
1,232000,True,272462,19,19,Military,10000
9,26000,True,21164,18,11,Other,160921
6,584000,False,67259,28,10,Medicine,499544
2,245000,True,215751,25,22,Other,204150
12,597000,True,563488,5,9,Other,10000
7,846000,True,800215,17,31,Medicine,104738
2,583000,True,656137,7,23,Military,465205
12,43000,True,37194,1,13,Medicine,10000
4,529000,True,426777,6,15,Humanitarian,10000
1,780000,False,291703,17,12,Medicine,8558
5,788000,True,703705,11,11,Other,3481
9,841000,True,892111,24,9,Other,10000
3,753000,True,757223,25,26,Military,478500
12,728000,True,845351,5,16,Military,291073
8,645000,True,581869,21,29,Humanitarian,10000
1,125000,True,136848,12,21,Other,112085
3,712000,False,14466,29,12,Other,384002
6,398000,False,106404,13,29,Other,450902
5,904000,True,991111,11,12,Military,10000
9,411000,False,270475,24,18,Humanitarian,10000
11,599000,False,114722,23,10,Other,10000
5,491000,True,526306,1,3,Military,10000
11,828000,False,733242,27,7,Military,304907
12,687000,True,657869,29,10,Medicine,10000
1,218000,True,220307,11,14,Medicine,337561
11,362000,False,132995,12,21,Military,10000
5,276000,False,163607,5,18,Other,6164469
1,704000,True,666942,30,18,Medicine,415827
12,838000,False,482798,4,12,Other,10000
4,280000,True,258631,6,10,Other,6637713
11,48000,True,40364,29,14,Humanitarian,10000
4,259000,True,238732,28,1,Humanitarian,10000
4,602000,False,493589,17,25,Medicine,389836
11,670000,False,371764,21,16,Military,10000
7,228000,False,152001,2,26,Other,466167
6,671000,False,195530,1,2,Other,6795212
2,729000,True,612902,1,28,Other,268317
4,203000,False,60219,29,9,Medicine,10000
12,820000,True,974801,22,18,Humanitarian,6604
6,746000,True,674782,16,13,Medicine,4099
9,457000,True,483567,19,24,Military,689
6,959000,True,819122,4,26,Medicine,387294
6,946000,True,1063604,15,17,Humanitarian,367255
3,77000,True,103722,21,24,Military,10000
12,224000,True,218981,11,18,Military,488629
1,716000,True,658462,21,30,Medicine,10000
10,177000,True,209518,12,13,Military,10000
6,728000,False,12510,31,13,Other,151439
9,152000,False,91707,31,5,Other,295923
12,638000,True,634736,8,16,Medicine,491223
2,613000,False,313441,7,14,Military,10000
6,498000,True,582947,30,23,Medicine,461314
11,841000,True,740018,22,26,Medicine,10000
2,792000,False,186125,16,16,Humanitarian,10000
3,810000,True,725010,18,10,Humanitarian,896
5,98000,True,140817,22,27,Military,3647
11,34000,False,5891,10,1,Other,1370
2,19000,True,18197,30,7,Other,10000
7,922000,True,807838,29,19,Other,560
4,65000,False,4334,18,2,Medicine,10000
8,678000,True,736760,10,27,Medicine,10000
10,232000,False,190401,5,8,Other,10000
4,192000,False,113015,30,3,Humanitarian,3091
2,228000,True,231189,14,18,Medicine,10000
7,773000,False,97335,22,8,Humanitarian,10000
3,605000,True,571426,16,2,Humanitarian,10000
9,888000,True,731617,31,12,Other,10000
6,71000,True,79065,17,2,Humanitarian,10000
8,486000,True,509676,15,23,Military,314783
3,520000,True,545360,26,1,Other,10000
2,416000,True,351915,11,23,Humanitarian,129593
5,657000,True,640906,23,2,Medicine,374496
2,523000,False,510685,9,21,Other,141661
8,130000,True,134999,15,5,Other,138744
10,980000,False,43380,18,23,Medicine,10000
7,267000,True,222674,29,6,Humanitarian,336
11,732000,False,688164,17,10,Medicine,10000
5,240000,False,148546,15,12,Other,10000
9,908000,True,885542,8,7,Humanitarian,10000
8,957000,True,1117169,17,6,Military,10000
10,549000,True,514201,4,5,Medicine,10000
9,258000,True,267978,23,20,Other,10000
12,109000,True,115407,13,22,Military,10000
3,881000,True,756940,20,18,Humanitarian,10000
7,708000,True,606958,14,16,Other,218740
3,557000,True,546057,19,14,Other,147443
12,964000,False,2543,31,15,Other,10000
8,448000,True,507022,30,5,Humanitarian,316024
3,446000,True,440760,17,15,Humanitarian,243762
7,847000,False,280575,17,26,Military,178943
8,252000,False,129297,14,17,Military,10000
8,316000,True,305164,4,7,Other,10000
1,853000,True,819861,28,12,Humanitarian,10000
6,921000,False,468246,13,18,Other,10000
3,944000,True,1102577,22,27,Medicine,444570
6,762000,True,659822,1,9,Military,489089
11,222000,False,183214,27,15,Other,332010
11,200000,True,175666,8,19,Other,10000
7,103000,True,107235,18,6,Military,10000
2,442000,True,494847,24,2,Military,10000
8,942000,False,300190,5,16,Medicine,10000
3,318000,False,298823,25,20,Other,195614
5,780000,True,794682,23,18,Humanitarian,10000
5,825000,False,342501,18,5,Military,370676
4,125000,True,138158,30,18,Other,10000
8,972000,True,880366,1,11,Humanitarian,10000
5,66000,True,59604,30,25,Humanitarian,10000
3,855000,True,984368,29,19,Humanitarian,10000
5,72000,False,58354,27,4,Medicine,1688
3,520000,True,433830,2,15,Humanitarian,6283020
12,747000,False,151630,4,14,Military,10000
3,969000,True,868616,10,22,Medicine,10000
9,502000,True,414925,20,21,Humanitarian,202532
3,443000,True,483103,4,9,Medicine,10000
3,336000,True,380884,21,23,Military,10000
12,963000,True,895116,28,12,Medicine,442317
9,817000,True,968476,21,7,Humanitarian,490123
4,480000,True,509713,3,10,Humanitarian,142711
2,87000,False,14530,23,20,Humanitarian,492886
2,251000,True,244555,27,19,Humanitarian,276022
4,436000,True,476808,25,11,Medicine,10000
3,965000,False,16339,4,16,Humanitarian,457424
3,264000,True,273406,9,25,Other,10000
5,264000,True,307605,15,18,Military,386596
8,7000,True,7017,9,25,Military,390826
9,437000,False,258064,11,15,Humanitarian,419
11,781000,True,862875,18,8,Other,10000
8,864000,False,93599,28,21,Other,7240
7,821000,True,793834,5,16,Humanitarian,10000
11,972000,True,1086242,20,26,Medicine,10000
12,293000,True,298500,13,30,Military,10000
7,768000,False,454584,18,17,Military,10000
2,686000,True,793659,9,21,Medicine,472824
3,113000,True,115585,19,30,Medicine,10000
7,223000,False,210868,20,17,Military,10000
6,527000,True,534831,28,13,Military,185581
3,555000,True,623605,20,17,Medicine,131778
11,807000,True,819651,1,3,Military,10000
12,534000,False,297140,10,19,Humanitarian,4284
11,283000,True,282876,29,25,Other,199348
12,634000,True,687024,11,26,Medicine,100732
5,440000,True,466077,19,20,Military,384994
7,104000,True,106140,24,1,Other,10000
12,718000,True,629849,29,6,Other,218545
9,141000,True,131652,20,13,Humanitarian,389364
12,41000,True,46032,31,27,Other,10000
5,547000,False,114654,14,29,Medicine,417660
6,113000,True,109495,18,3,Medicine,241178
9,577000,True,664416,20,23,Military,10000
5,910000,False,103652,9,19,Humanitarian,205041
9,432000,False,63183,10,10,Humanitarian,342703
9,428000,True,443673,19,3,Medicine,10000
11,167000,False,77660,10,3,Other,3271
8,417000,True,386490,24,13,Medicine,404947
11,922000,False,37660,4,27,Medicine,154868
6,792000,False,645644,3,26,Other,419131
10,455000,True,521015,22,3,Medicine,269113
7,639000,True,576052,28,27,Other,3832
3,286000,True,341067,22,11,Medicine,7328237
8,183000,True,213205,30,4,Medicine,10000
8,689000,True,631778,21,28,Other,10000
3,877000,True,935419,12,24,Humanitarian,9929
1,186000,False,48609,29,7,Medicine,10000
4,744000,True,676298,3,25,Medicine,9870
8,622000,True,609781,21,6,Military,8377616
12,829000,True,760847,3,29,Military,211816
5,72000,True,82479,8,11,Medicine,10000
12,378000,False,350007,18,8,Medicine,10000
3,959000,False,65605,16,24,Medicine,10000
9,518000,True,415284,29,31,Medicine,134947
1,737000,True,620297,29,5,Humanitarian,10000
7,517000,False,217590,4,3,Other,321635
6,467000,True,400305,13,18,Military,432159
3,913000,False,365120,18,9,Military,10000
11,411000,False,44605,3,29,Medicine,923
2,811000,False,58681,16,25,Military,10000
3,32000,True,33865,27,11,Other,9267
6,265000,False,181211,22,31,Other,430587
6,832000,False,569656,16,17,Other,228084
6,551000,True,645247,17,21,Military,8033
12,270000,False,138636,25,28,Medicine,10000
6,980000,True,1059242,14,2,Humanitarian,10000
12,477000,True,562412,7,14,Medicine,423294
8,849000,True,747030,8,18,Medicine,3448
7,900000,True,866757,3,5,Medicine,10000
3,313000,True,268242,4,24,Humanitarian,10000
10,540000,False,500885,19,9,Medicine,10000
1,264000,True,247446,24,26,Military,645
8,641000,True,726290,22,13,Medicine,404211
12,573000,True,655465,29,30,Humanitarian,353963
8,266000,True,229513,28,16,Other,10000
8,756000,True,835166,4,24,Military,436619
6,434000,False,394128,29,26,Other,10000
1,270000,True,323347,28,14,Military,10000
3,669000,True,640755,20,31,Humanitarian,10000
7,606000,False,132307,25,18,Humanitarian,6967
12,742000,True,723356,11,16,Medicine,10000
12,479000,False,297465,8,10,Humanitarian,10000
7,130000,False,61570,11,28,Medicine,10000
3,18000,True,17537,19,31,Other,4458
12,722000,True,715078,1,19,Medicine,320020
7,876000,False,373429,18,15,Medicine,10000
5,62000,True,56723,19,29,Medicine,10000
2,115000,True,108902,16,13,Other,10000
2,950000,True,967796,25,31,Humanitarian,10000
10,691000,True,741119,2,14,Humanitarian,7931
5,802000,True,915723,19,21,Military,10000
2,829000,True,678900,21,19,Humanitarian,10000
3,447000,True,519538,16,4,Medicine,3209
12,720000,True,678582,7,14,Other,10000
3,558000,False,235397,12,21,Humanitarian,10000
8,960000,True,1076244,21,15,Military,10000
1,610000,False,194605,17,19,Other,10000
4,155000,True,143026,7,27,Humanitarian,9326453
10,614000,False,593722,9,20,Military,10000
8,269000,False,244814,1,31,Other,10000
7,2000,True,2080,20,3,Medicine,399413
3,108000,True,120757,10,10,Medicine,107532
7,990000,True,1000088,31,7,Other,10000
4,922000,False,525632,29,7,Other,10000
6,221000,False,54351,5,29,Military,10000
1,869000,True,935484,30,25,Military,235859
8,802000,True,669379,2,7,Medicine,4525
11,275000,True,253898,2,15,Medicine,10000
1,911000,False,227982,28,14,Humanitarian,10000
3,918000,True,1074419,24,14,Medicine,10000
7,670000,True,559937,20,2,Humanitarian,10000
9,387000,False,272604,7,14,Humanitarian,227751
9,331000,True,392128,24,31,Medicine,10000
6,670000,True,592218,29,27,Medicine,10000
1,392000,True,369632,10,24,Other,10000
5,441000,True,491800,24,30,Medicine,10000
3,957000,False,428911,17,1,Other,2377
11,185000,False,144782,28,29,Medicine,10000
11,17000,True,19156,3,4,Other,10000
10,165000,True,197023,25,7,Other,476997
10,265000,True,308424,16,9,Other,10000
2,945000,True,820914,25,6,Medicine,4578
